check_type,group,sample_count,bet_count,hit_count,hit_rate,total_stake,total_profit,roi,max_drawdown,avg_odds,avg_ev,avg_model_prob
time_segment,segment_1,49,49,17,0.3469387755102041,49.0,8.3,0.16938775510204082,9.0,3.357142857142857,0.005909951521125572,0.3006126151765279
time_segment,segment_2,49,49,14,0.2857142857142857,49.0,-1.6999999999999997,-0.0346938775510204,11.0,3.941836734693877,0.008491204724431009,0.2909564052898036
time_segment,segment_3,48,48,15,0.3125,48.0,2.8000000000000003,0.05833333333333334,10.0,3.428125,0.006335893680878873,0.29432606795593297
time_segment,segment_4,48,48,13,0.2708333333333333,48.0,-3.500000000000001,-0.07291666666666669,16.5,3.422916666666667,0.006154049742163467,0.2949675120437438
time_segment,segment_5,48,48,13,0.2708333333333333,48.0,-1.7000000000000002,-0.03541666666666667,14.1,3.8177083333333335,0.0057269892975957025,0.28382404544802753
odds_band,1.10-1.30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_band,1.30-1.50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_band,1.50-1.80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_band,1.80-2.20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_band,2.20-3.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_band,3.00+,242,242,72,0.2975206611570248,242.0,4.199999999999999,0.017355371900826443,24.700000000000003,3.59400826446281,0.006529212506706191,0.29296085960471097
selection,H,1,1,0,0.0,1.0,-1.0,-1.0,1.0,19.0,0.0092927338123225,0.0531206702006485
selection,D,240,240,72,0.3,240.0,6.199999999999999,0.02583333333333333,24.700000000000003,3.423958333333333,0.006498347452131314,0.2950355804548482
selection,A,1,1,0,0.0,1.0,-1.0,-1.0,1.0,29.0,0.0111733042990607,0.0348680449758296
